SIDARAC,marka,arac_yasi,yas_kategori,toplam_ariza,toplam_zayi_sefer,cekici_talep_sayisi,olumsuz_denetim,OLUMSUZ_ORAN,RF_ARIZA_SKORU,RF_RISK_ETIKETI,garaj,garaj_ilce,RİSK_SEVİYESİ
5787.0,MERCEDES,10.0,Orta (8-12),169,47,7,211.0,0.537,100.0,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
543.0,MERCEDES,10.0,Orta (8-12),141,33,5,247.0,0.468,100.0,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
5911.0,MERCEDES,10.0,Orta (8-12),150,57,6,388.0,0.72,99.9,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
5908.0,MERCEDES,10.0,Orta (8-12),161,52,6,384.0,0.718,99.9,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
774.0,MERCEDES,10.0,Orta (8-12),147,46,4,256.0,0.495,99.9,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
673.0,MERCEDES,10.0,Orta (8-12),183,44,4,232.0,0.622,99.9,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
670.0,MERCEDES,10.0,Orta (8-12),166,46,5,334.0,0.634,99.9,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
3672.0,MERCEDES,10.0,Orta (8-12),139,40,6,126.0,0.349,99.9,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
5028.0,MERCEDES,10.0,Orta (8-12),173,55,6,256.0,0.521,99.9,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
1735.0,MERCEDES,10.0,Orta (8-12),141,53,4,287.0,0.605,99.8,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
3584.0,MERCEDES,13.0,Yaşlı (13+),135,34,4,230.0,0.632,99.8,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
3676.0,MERCEDES,10.0,Orta (8-12),141,47,8,291.0,0.726,99.8,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
3675.0,MERCEDES,10.0,Orta (8-12),194,58,5,305.0,0.633,99.8,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
3619.0,MERCEDES,10.0,Orta (8-12),172,51,5,218.0,0.536,99.8,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
5206.0,MERCEDES,10.0,Orta (8-12),144,30,7,136.0,0.416,99.8,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
1055.0,MERCEDES,10.0,Orta (8-12),119,39,7,80.0,0.289,99.8,🔴 Kritik,G_HSP,Kadıköy,🔴 YÜKSEK RİSK
2173.0,MERCEDES,16.0,Yaşlı (13+),129,43,4,203.0,0.442,99.8,🔴 Kritik,G_EDK,Eyüpsultan,🔴 YÜKSEK RİSK
