SIDARAC,marka,arac_yasi,yakitturu,garaj_ilce,RF_ARIZA_SKORU,RF_RISK_ETIKETI,RF_ARIZA_OLASILIGI,RİSK_SEVİYESİ,HEDEF_ARIZA_30GUN
1.0,OTOKAR,12.0,MOTORIN,Sancaktepe,42.6,🟡 Orta,0.42611897574423957,🟠 ORTA-YÜKSEK,0
2.0,OTOKAR,12.0,MOTORIN,Sancaktepe,43.6,🟡 Orta,0.43599430097305636,🟠 ORTA-YÜKSEK,1
3.0,OTOKAR,12.0,MOTORIN,Sancaktepe,86.8,🔴 Kritik,0.868090663214639,🔴 YÜKSEK RİSK,1
4.0,OTOKAR,12.0,MOTORIN,Sancaktepe,68.3,🟠 Yüksek,0.6831073136549455,🔴 YÜKSEK RİSK,1
5.0,OTOKAR,12.0,MOTORIN,Kartal,90.2,🔴 Kritik,0.9022680148513964,🔴 YÜKSEK RİSK,1
6.0,OTOKAR,12.0,MOTORIN,Kartal,77.9,🔴 Kritik,0.7787990212576692,🟠 ORTA-YÜKSEK,1
7.0,OTOKAR,12.0,MOTORIN,Kartal,96.1,🔴 Kritik,0.9608743634250296,🔴 YÜKSEK RİSK,1
8.0,OTOKAR,12.0,MOTORIN,Kartal,92.9,🔴 Kritik,0.9286496134786911,🔴 YÜKSEK RİSK,1
9.0,OTOKAR,12.0,MOTORIN,Kartal,80.4,🔴 Kritik,0.8039611792045659,🔴 YÜKSEK RİSK,1
10.0,OTOKAR,12.0,MOTORIN,Kartal,80.7,🔴 Kritik,0.807077130671563,🔴 YÜKSEK RİSK,1
11.0,OTOKAR,12.0,MOTORIN,Kartal,68.9,🟠 Yüksek,0.6892843630120495,🔴 YÜKSEK RİSK,1
12.0,OTOKAR,12.0,MOTORIN,Kartal,52.1,🟠 Yüksek,0.5208756891459262,🔴 YÜKSEK RİSK,0
13.0,OTOKAR,12.0,MOTORIN,Kartal,85.1,🔴 Kritik,0.8507872928040586,🔴 YÜKSEK RİSK,1
14.0,OTOKAR,12.0,MOTORIN,Kartal,90.7,🔴 Kritik,0.9073865772843958,🔴 YÜKSEK RİSK,1
15.0,OTOKAR,12.0,MOTORIN,Kartal,81.4,🔴 Kritik,0.8137776004633284,🔴 YÜKSEK RİSK,1
16.0,OTOKAR,12.0,MOTORIN,Kartal,36.4,🟡 Orta,0.3639166894404855,🟠 ORTA-YÜKSEK,0
17.0,OTOKAR,12.0,MOTORIN,Kartal,85.1,🔴 Kritik,0.8506564821715276,🔴 YÜKSEK RİSK,1
18.0,OTOKAR,12.0,MOTORIN,Kartal,87.3,🔴 Kritik,0.8733028201812857,🔴 YÜKSEK RİSK,1
19.0,OTOKAR,12.0,MOTORIN,Kartal,73.3,🟠 Yüksek,0.7334175731182898,🟠 ORTA-YÜKSEK,1
20.0,OTOKAR,12.0,MOTORIN,Kartal,91.6,🔴 Kritik,0.9160177153190392,🔴 YÜKSEK RİSK,1
21.0,OTOKAR,12.0,MOTORIN,Kartal,40.7,🟡 Orta,0.40698399919895145,🟠 ORTA-YÜKSEK,0
22.0,OTOKAR,12.0,MOTORIN,Kartal,75.6,🔴 Kritik,0.7563526801588029,🟠 ORTA-YÜKSEK,1
23.0,OTOKAR,12.0,MOTORIN,Kartal,77.1,🔴 Kritik,0.770619265768109,🔴 YÜKSEK RİSK,1
24.0,OTOKAR,12.0,MOTORIN,Kartal,37.1,🟡 Orta,0.3711149095606281,🟠 ORTA-YÜKSEK,0
25.0,OTOKAR,12.0,MOTORIN,Kartal,68.1,🟠 Yüksek,0.6805266065045555,🔴 YÜKSEK RİSK,0
26.0,OTOKAR,12.0,MOTORIN,Kartal,92.0,🔴 Kritik,0.9200430050519975,🔴 YÜKSEK RİSK,1
27.0,OTOKAR,12.0,MOTORIN,Kartal,69.8,🟠 Yüksek,0.6978557614701931,🟠 ORTA-YÜKSEK,1
28.0,OTOKAR,12.0,MOTORIN,Kartal,89.5,🔴 Kritik,0.8949718996883251,🔴 YÜKSEK RİSK,1
29.0,OTOKAR,12.0,MOTORIN,Kartal,91.3,🔴 Kritik,0.9130256299889632,🔴 YÜKSEK RİSK,1
30.0,OTOKAR,12.0,MOTORIN,Kartal,58.4,🟠 Yüksek,0.5836416138746263,🔴 YÜKSEK RİSK,0
31.0,OTOKAR,12.0,MOTORIN,Kartal,72.8,🟠 Yüksek,0.7277376773742297,🔴 YÜKSEK RİSK,1
32.0,OTOKAR,12.0,MOTORIN,Kartal,86.5,🔴 Kritik,0.864604778719558,🔴 YÜKSEK RİSK,1
33.0,OTOKAR,12.0,MOTORIN,Kartal,92.0,🔴 Kritik,0.9196579746697685,🔴 YÜKSEK RİSK,1
39.0,MERCEDES,10.0,MOTORIN,Kadıköy,94.1,🔴 Kritik,0.9410868635507073,🔴 YÜKSEK RİSK,1
40.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.8,🔴 Kritik,0.9982513326230916,🔴 YÜKSEK RİSK,1
41.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.2,🔴 Kritik,0.9920937787648758,🔴 YÜKSEK RİSK,1
42.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.7,🔴 Kritik,0.9970565410227463,🔴 YÜKSEK RİSK,1
43.0,MERCEDES,10.0,MOTORIN,Kadıköy,88.9,🔴 Kritik,0.8890704342069375,🔴 YÜKSEK RİSK,1
44.0,MERCEDES,10.0,MOTORIN,Kadıköy,93.1,🔴 Kritik,0.9306561880647444,🔴 YÜKSEK RİSK,1
45.0,MERCEDES,10.0,MOTORIN,Kadıköy,92.9,🔴 Kritik,0.9289322387408732,🔴 YÜKSEK RİSK,1
46.0,MERCEDES,10.0,MOTORIN,Kadıköy,95.6,🔴 Kritik,0.9561745565903622,🔴 YÜKSEK RİSK,1
47.0,MERCEDES,10.0,MOTORIN,Kadıköy,97.7,🔴 Kritik,0.9772032329644524,🔴 YÜKSEK RİSK,1
48.0,MERCEDES,10.0,MOTORIN,Kadıköy,99.7,🔴 Kritik,0.9967257808306207,🔴 YÜKSEK RİSK,1
49.0,BMC,9.0,MOTORIN,Küçükçekmece,94.9,🔴 Kritik,0.9491198795290903,🔴 YÜKSEK RİSK,1
50.0,BMC,9.0,MOTORIN,Küçükçekmece,94.7,🔴 Kritik,0.9470922259497994,🔴 YÜKSEK RİSK,1
51.0,BMC,9.0,MOTORIN,Küçükçekmece,92.4,🔴 Kritik,0.9240248653462309,🔴 YÜKSEK RİSK,1
52.0,BMC,9.0,MOTORIN,Küçükçekmece,92.7,🔴 Kritik,0.9272819219054934,🔴 YÜKSEK RİSK,1
53.0,BMC,8.0,MOTORIN,Küçükçekmece,93.5,🔴 Kritik,0.93477460615596,🔴 YÜKSEK RİSK,1
54.0,BMC,8.0,MOTORIN,Küçükçekmece,97.7,🔴 Kritik,0.9769320449830852,🔴 YÜKSEK RİSK,1
55.0,BMC,8.0,MOTORIN,Küçükçekmece,99.0,🔴 Kritik,0.9898791220426026,🔴 YÜKSEK RİSK,1
56.0,BMC,8.0,MOTORIN,Küçükçekmece,97.6,🔴 Kritik,0.9756475460046614,🔴 YÜKSEK RİSK,1
57.0,BMC,8.0,MOTORIN,Küçükçekmece,90.9,🔴 Kritik,0.9091760512915621,🔴 YÜKSEK RİSK,1
60.0,BMC,8.0,MOTORIN,Küçükçekmece,99.0,🔴 Kritik,0.9901706511342249,🔴 YÜKSEK RİSK,1
63.0,BMC,8.0,MOTORIN,Küçükçekmece,96.7,🔴 Kritik,0.9670726766497227,🔴 YÜKSEK RİSK,1
64.0,BMC,8.0,MOTORIN,Küçükçekmece,97.9,🔴 Kritik,0.9793182121530541,🔴 YÜKSEK RİSK,1
65.0,BMC,8.0,MOTORIN,Küçükçekmece,91.8,🔴 Kritik,0.9183640892815716,🔴 YÜKSEK RİSK,1
66.0,BMC,8.0,MOTORIN,Küçükçekmece,97.4,🔴 Kritik,0.9743622496314019,🔴 YÜKSEK RİSK,1
67.0,BMC,8.0,MOTORIN,Küçükçekmece,97.7,🔴 Kritik,0.9769606361916712,🔴 YÜKSEK RİSK,1
68.0,BMC,8.0,MOTORIN,Küçükçekmece,98.4,🔴 Kritik,0.9840524804062666,🔴 YÜKSEK RİSK,1
69.0,BMC,8.0,MOTORIN,Küçükçekmece,98.0,🔴 Kritik,0.9795948069716535,🟠 ORTA-YÜKSEK,1
70.0,BMC,8.0,MOTORIN,Küçükçekmece,91.4,🔴 Kritik,0.9142370080804362,🔴 YÜKSEK RİSK,1
71.0,BMC,8.0,MOTORIN,Küçükçekmece,97.9,🔴 Kritik,0.9792791038451782,🔴 YÜKSEK RİSK,1
