SIDARAC,toplam_ariza,toplam_zayi_sefer,ort_mudahale_sure,cekici_talep_sayisi,benzersiz_ariza_tip,gece_ariza_sayisi,haftasonu_ariza,arac_yasi,marka,yakitturu,aractipi,yas_kategori,garaj,garaj_ilce,ustoperator,hatcinsi,GECE_ARİZA_ORANI,HAFTASONU_ARİZA_ORANI,HAM_RISK_SKORU,KUME,RİSK_SEVİYESİ,PCA1,PCA2
1.0,29,15,0.0,1,12,3,5,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_SRG,Sancaktepe,İETT,İETT,0.10344827586206896,0.1724137931034483,91.1,1,🟠 ORTA-YÜKSEK,-0.2832127046087641,-0.1422852456035694
2.0,39,25,0.0,0,13,1,4,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_SRG,Sancaktepe,İETT,İETT,0.02564102564102564,0.10256410256410256,124.6,1,🟠 ORTA-YÜKSEK,-0.1991068559000451,-0.9572589028744127
3.0,53,29,1.5188069105691056,2,14,10,12,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_SRG,Sancaktepe,İETT,İETT,0.18867924528301888,0.22641509433962265,156.1,0,🔴 YÜKSEK RİSK,0.9173863623652727,0.6422929906288569
4.0,42,27,0.012803846153846154,1,16,3,10,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_SRG,Sancaktepe,İETT,İETT,0.07142857142857142,0.23809523809523808,140.1,0,🔴 YÜKSEK RİSK,0.2829539265367406,-0.507340272035888
5.0,106,37,0.0,1,14,14,16,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.1320754716981132,0.1509433962264151,226.1,0,🔴 YÜKSEK RİSK,1.1562263003491986,-0.025479797115215745
6.0,36,15,0.0,0,10,8,9,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.2222222222222222,0.25,92.1,1,🟠 ORTA-YÜKSEK,-0.36137948408626047,0.9049606082598586
7.0,88,44,0.0,3,15,19,18,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,KARMA,0.2159090909090909,0.20454545454545456,233.1,0,🔴 YÜKSEK RİSK,1.5806144917855847,0.8026903156815215
8.0,101,49,0.02191412037037037,1,18,13,20,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.12871287128712872,0.19801980198019803,257.1,0,🔴 YÜKSEK RİSK,1.5463570299196272,-0.11954368108495314
9.0,56,25,0.0,1,16,7,7,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.125,0.125,149.1,0,🔴 YÜKSEK RİSK,0.4712741894171189,-0.010917721828690476
10.0,78,18,0.55924375,0,17,5,19,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.0641025641025641,0.24358974358974358,152.1,0,🔴 YÜKSEK RİSK,0.5199372541283428,-0.5733604425021803
11.0,43,24,0.0,1,14,4,9,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,ÖHO,0.09302325581395349,0.20930232558139536,130.6,0,🔴 YÜKSEK RİSK,0.1455577267903755,-0.2920701574855165
12.0,44,29,0.3872983333333333,1,16,3,16,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.06818181818181818,0.36363636363636365,147.1,0,🔴 YÜKSEK RİSK,0.40639429597343035,-0.5380233157369093
13.0,60,31,0.0,0,14,14,10,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.23333333333333334,0.16666666666666666,162.1,0,🔴 YÜKSEK RİSK,0.45113115290076106,0.9109636147862664
14.0,71,32,0.0,0,15,13,15,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,KARMA,0.18309859154929578,0.2112676056338028,177.1,0,🔴 YÜKSEK RİSK,0.599047930367866,0.4385676997046464
15.0,74,29,0.0,0,12,15,20,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.20270270270270271,0.2702702702702703,168.1,0,🔴 YÜKSEK RİSK,0.42558710218691637,0.6361998288699534
16.0,30,11,0.0,0,13,3,6,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,İETT,0.1,0.2,80.6,1,🟠 ORTA-YÜKSEK,-0.4641641899819606,-0.19870807433582796
17.0,52,26,0.0,0,13,10,5,12.0,OTOKAR,MOTORIN,OTOBÜS,Orta (8-12),G_YUN,Kartal,İETT,KARMA,0.19230769230769232,0.09615384615384616,140.1,0,🔴 YÜKSEK RİSK,0.16292643066671295,0.5639070246739862
