oncul,sonuc,support,confidence,lift,birlikte_gorulme
BASINÇLI YAĞ HATTI ARIZASI,BASINÇLI HAVA HATTI ARIZASI,0.1407,0.4756,1.494,517
BASINÇLI HAVA HATTI ARIZASI,BASINÇLI YAĞ HATTI ARIZASI,0.1407,0.4419,1.494,517
BASINÇLI MOTOR YAĞI SİSTEMİ,BASINÇLI HAVA HATTI ARIZASI,0.163,0.4604,1.446,599
BASINÇLI HAVA HATTI ARIZASI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.163,0.512,1.446,599
BASINÇLI MOTOR YAĞI SİSTEMİ,BASINÇLI YAĞ HATTI ARIZASI,0.1431,0.4043,1.367,526
BASINÇLI YAĞ HATTI ARIZASI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.1431,0.4839,1.367,526
KAYIŞ KASNAK ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.1807,0.3786,1.28,664
BASINÇLI YAĞ HATTI ARIZASI,KAYIŞ KASNAK ARIZALARI,0.1807,0.6109,1.28,664
KAYIŞ KASNAK ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.1937,0.4059,1.275,712
BASINÇLI HAVA HATTI ARIZASI,KAYIŞ KASNAK ARIZALARI,0.1937,0.6085,1.275,712
KAYIŞ KASNAK ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.2117,0.4436,1.253,778
BASINÇLI MOTOR YAĞI SİSTEMİ,KAYIŞ KASNAK ARIZALARI,0.2117,0.598,1.253,778
BASINÇLI HAVA DONANIMI ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.4008,0.7749,1.219,1473
YAKIT ve ENJEKSİYON ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.4008,0.6306,1.219,1473
BASINÇLI HAVA HATTI ARIZASI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.2686,0.8436,1.212,987
SÜSPANSİYON SİSTEMİ ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.2686,0.386,1.212,987
OTOMATİK ŞANZIMAN ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.2838,0.3821,1.2,1043
BASINÇLI HAVA HATTI ARIZASI,OTOMATİK ŞANZIMAN ARIZALARI,0.2838,0.8915,1.2,1043
OTOMATİK ŞANZIMAN ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.2629,0.3538,1.196,966
BASINÇLI YAĞ HATTI ARIZASI,OTOMATİK ŞANZIMAN ARIZALARI,0.2629,0.8887,1.196,966
BASINÇLI YAĞ HATTI ARIZASI,BASINÇLI HAVA DONANIMI ARIZALARI,0.181,0.6118,1.183,665
BASINÇLI HAVA DONANIMI ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.181,0.3498,1.183,665
BASINÇLI HAVA HATTI ARIZASI,ISITMA SİSTEMİ,0.2762,0.8675,1.173,1015
