ARAC_SID,toplam_denetim,olumsuz_denetim,olumlu_denetim,ilk_denetim_tar,son_denetim_tar,OLUMSUZ_ORAN
1,1781,249,1532,2024-01-02,2025-12-31,0.14
2,1662,557,1105,2024-01-03,2025-12-31,0.335
3,1519,331,1188,2024-01-03,2025-12-30,0.218
4,1786,321,1465,2024-01-02,2025-12-31,0.18
5,1530,780,750,2024-01-01,2025-12-30,0.51
6,908,152,756,2024-01-01,2025-12-31,0.167
7,1229,436,793,2024-01-01,2025-12-30,0.355
8,1527,353,1174,2024-01-06,2025-12-31,0.231
9,1220,305,915,2024-01-02,2025-12-31,0.25
10,1218,523,695,2024-01-02,2025-12-31,0.429
11,1162,164,998,2024-01-02,2025-12-31,0.141
12,1430,346,1084,2024-01-02,2025-12-31,0.242
13,1470,410,1060,2024-01-01,2025-12-31,0.279
14,1258,181,1077,2024-01-01,2025-12-31,0.144
15,1456,425,1031,2024-01-02,2025-12-31,0.292
16,1478,351,1127,2024-01-01,2025-12-31,0.237
17,1000,311,689,2024-01-01,2025-12-31,0.311
18,975,270,705,2024-01-02,2025-12-31,0.277
19,941,81,860,2024-01-03,2025-12-31,0.086
20,1027,224,803,2024-01-01,2025-12-30,0.218
21,1282,158,1124,2024-01-02,2025-12-31,0.123
22,1582,357,1225,2024-01-03,2025-12-31,0.226
23,1240,228,1012,2024-01-01,2025-12-31,0.184
24,1459,95,1364,2024-01-03,2025-12-29,0.065
25,1507,174,1333,2024-01-02,2025-12-31,0.115
26,1629,271,1358,2024-01-02,2025-12-31,0.166
27,1560,482,1078,2024-01-01,2025-12-31,0.309
28,1865,811,1054,2024-01-03,2025-12-31,0.435
29,1934,970,964,2024-01-01,2025-12-31,0.502
30,1150,95,1055,2024-01-01,2025-12-31,0.083
31,1181,132,1049,2024-01-14,2025-12-31,0.112
32,1384,133,1251,2024-01-01,2025-12-31,0.096
33,1343,437,906,2024-01-02,2025-12-25,0.325
39,380,226,154,2024-03-26,2025-12-31,0.595
40,500,295,205,2024-01-18,2025-12-31,0.59
41,267,77,190,2024-01-11,2025-12-26,0.288
42,520,277,243,2024-01-05,2025-12-31,0.533
43,97,35,62,2024-02-25,2025-12-26,0.361
44,328,124,204,2024-01-21,2025-12-31,0.378
