SIDHAT,toplam_sefer,iptal_sefer,IPTAL_ORANI,SID,HATKODU,HATADI,HATCINSI,HATILCE
1,13241,718,0.054,1,11C,BURHANİYE MAHALLESİ - ÜSKÜDAR MARMARAY,İETT,Üsküdar
2,6982,386,0.055,2,11D,İNKILAP MAHALLESİ - ÜMRANİYE METRO,İETT,Ümraniye
3,60000,3555,0.059,3,319,KAYIŞDAĞI - KADIKÖY,ÖHO,Ataşehir
4,7232,648,0.09,4,31E,KUYUMCUKENT - EMİNÖNÜ,KARMA,Bahçelievler
5,28547,2908,0.102,5,320A,SULTANBEYLİ MİMARSİNAN / SAMANDIRA - ÜSKÜDAR,KARMA,Sultanbeyli
6,45631,4703,0.103,6,336E,SULTANÇİFTLİĞİ - EMİNÖNÜ,ÖHO,Sultangazi
7,17281,1952,0.113,7,336M,ARNAVUTKÖY - MECİDİYEKÖY,İETT,Arnavutköy
8,18674,2872,0.154,8,36V,YAYLA MAHALLESİ - VEZNECİLER,İETT,Sultangazi
9,13501,1143,0.085,9,37Y,ÇIRÇIR METRO - VEZNECİLER,ÖHO,Eyüpsultan
10,17434,1800,0.103,10,38E,G.O.P. DEVLET HASTANESİ - EMİNÖNÜ,KARMA,Gaziosmanpaşa
11,1011,54,0.053,11,38M,CEVATPAŞA / KÜÇÜKKÖY - MECİDİYEKÖY,İETT,Bayrampaşa
12,6863,351,0.051,12,39O,YEŞİLPINAR - OTOGAR,İETT,Eyüpsultan
13,3595,126,0.035,13,3B,KADIKÖY - ÜNALAN MAHALLESİ,İETT,Kadıköy
14,3007,139,0.046,14,3,BURHANİYE MAHALLESİ - KADIKÖY,İETT,Üsküdar
15,8804,416,0.047,15,402,BİNKILIÇ - ÇATALCA,ÖHO,Çatalca
16,8722,530,0.061,16,403,ÇİFTLİKKÖY - ÇATALCA,ÖHO,Çatalca
17,3063,359,0.117,17,40,RUMELİFENERİ / GARİPÇE - TAKSİM,İETT,Sarıyer
18,90905,11047,0.122,18,418,HADIMKÖY - HARAMİDERE,ÖHO,Arnavutköy
19,53283,6194,0.116,19,41ST,SEYRANTEPE - TOPKAPI,KARMA,Kağıthane
20,8854,809,0.091,20,42KT,SARIYER - KOCATAŞ,İETT,Sarıyer
21,3881,202,0.052,21,42M,BAHÇEKÖY - ZİNCİRLİKUYU METROBÜS,İETT,Sarıyer
22,1927,94,0.049,22,HM3,HÜRRİYET MAHALLESİ - ŞİŞLİ,İETT,Kağıthane
24,17067,2685,0.157,24,336T,TAŞOLUK MAHALLESİ- CEBECİ,İETT,Arnavutköy
25,20495,1662,0.081,25,33B,GİYİMKENT / BİRLİK MAHALLESİ - EMİNÖNÜ,KARMA,Esenler
26,4156,463,0.111,26,33TE,ESENLER TURGUTREİS - EMİNÖNÜ,İETT,Esenler
27,1726,208,0.121,27,33TM,GİYİMKENT / TURGUTREİS - MECİDİYEKÖY,İETT,Esenler
28,36698,2577,0.07,28,35D,KOCAMUSTAFAPAŞA - BALAT,ÖHO,Fatih
29,53954,3827,0.071,29,35,KOCAMUSTAFAPAŞA - EMİNÖNÜ,KARMA,Fatih
30,3739,359,0.096,30,36A,CEBECİ - VEZNECİLER,KARMA,Sultangazi
31,4529,605,0.134,31,36B,BOLLUCA / BOĞAZKÖY - CEBECİ,İETT,Arnavutköy
32,9532,1033,0.108,32,36C,ARNAVUTKÖY-CEBECI,İETT,Arnavutköy
33,9824,1214,0.124,33,36D,ARNAVUTKÖY - DELİKLİKAYA,İETT,Arnavutköy
35,10099,1465,0.145,35,36HT,FATİH MAHALLESİ- HARAÇÇI - CEBECİ,İETT,Arnavutköy
38,18363,987,0.054,38,48N,EMNİYETTEPE - TAKSİM,KARMA,Eyüpsultan
39,23811,2337,0.098,39,48T,HAMİDİYE MAHALLESİ - TAKSİM,KARMA,Kağıthane
