ILCE,kaza_sayisi,ciddi_kaza,toplam_yarali,kriz_orani
BELİRSİZ,998,0,5,0.041
Sancaktepe,563,0,5,0.034
Üsküdar,554,0,8,0.042
Kadıköy,540,0,9,0.024
Ümraniye,530,1,4,0.03
Başakşehir,526,0,7,0.044
Küçükçekmece,462,1,7,0.026
Esenyurt,458,0,7,0.035
Eyüpsultan,444,0,3,0.02
Avcılar,426,0,2,0.028
Fatih,409,0,9,0.037
Sultangazi,406,1,5,0.027
Sarıyer,397,3,7,0.048
Pendik,370,0,10,0.035
Ataşehir,347,0,3,0.017
Şişli,345,0,5,0.017
Sultanbeyli,312,0,1,0.013
Beykoz,285,0,4,0.067
Beşiktaş,277,0,4,0.014
Kartal,261,0,5,0.031
Bahçelievler,256,0,3,0.043
Maltepe,250,0,2,0.028
Bağcılar,233,0,8,0.026
Arnavutköy,207,1,5,0.053
Esenler,192,0,2,0.036
Beyoğlu,187,0,4,0.059
Kağıthane,179,0,3,0.028
Bakırköy,177,0,2,0.028
Gaziosmanpaşa,169,0,1,0.036
Çekmeköy,161,1,2,0.037
Tuzla,159,0,6,0.025
Büyükçekmece,143,0,2,0.028
Bayrampaşa,136,0,0,0.044
Beylikdüzü,98,0,1,0.041
Zeytinburnu,97,0,0,0.062
Güngören,77,0,2,0.013
Kadiköy,64,0,0,0.016
Eyüp,52,0,0,0.058
Sariyer,40,0,0,0.125
Avcilar,38,0,0,0.053
Bağcilar,37,0,0,0.0
Kağithane,27,0,0,0.074
Bakirköy,26,0,1,0.0
Silivri,12,0,0,0.0
Şile,6,0,0,0.0
Çayırova,4,0,0,0.0
Çatalca,3,0,0,0.333
İNCİRLİ METRO,1,0,0,0.0
